赛季,出场,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
11-12,12,39.2,43.9%,11.0,25.1,28.3%,1.4,5.0,83.2%,6.6,7.9,4.8,1.3,3.5,4.3,1.3,0.2,2.8,2.8,30.0,5,7
10-11,10,35.4,44.6%,8.3,18.6,29.3%,1.2,4.1,82.0%,5.0,6.1,3.4,0.8,2.6,3.3,1.6,0.3,3.1,2.3,22.8,4,6
09-10,23,40.1,45.8%,10.2,22.2,37.4%,2.1,5.7,84.2%,6.7,8.0,6.0,1.1,4.9,5.5,1.3,0.7,3.4,3.3,29.2,16,7
08-09,23,40.9,45.7%,10.5,23.0,34.9%,1.6,4.6,88.3%,7.6,8.6,5.3,0.8,4.5,5.5,1.7,0.9,2.6,2.6,30.2,16,7
07-08,21,41.1,47.9%,10.6,22.0,30.2%,1.5,5.0,80.9%,7.5,9.2,5.7,0.9,4.8,5.6,1.7,0.4,3.3,2.8,30.1,14,7
06-07,5,43.0,46.2%,12.0,26.0,35.7%,2.0,5.6,91.9%,6.8,7.4,5.2,0.2,5.0,4.4,1.0,0.4,4.4,2.0,32.8,1,4
05-06,7,44.9,49.7%,10.3,20.7,40.0%,2.0,5.0,77.1%,5.3,6.9,6.3,0.6,5.7,5.1,1.1,0.4,4.7,3.6,27.9,3,4
03-04,22,44.2,41.3%,8.6,20.9,24.7%,1.1,4.4,81.3%,6.1,7.5,4.7,0.8,3.9,5.5,1.9,0.3,2.8,2.7,24.5,13,9
02-03,12,44.3,43.2%,11.4,26.4,40.3%,2.1,5.2,82.7%,7.2,8.7,5.1,1.3,3.8,5.2,1.2,0.1,3.5,2.9,32.1,6,6
01-02,19,43.8,43.4%,9.8,22.7,37.9%,1.2,3.1,75.9%,5.8,7.6,5.8,1.5,4.4,4.6,1.4,0.9,2.8,3.4,26.6,15,4
00-01,16,43.4,46.9%,10.5,22.4,32.4%,0.7,2.1,82.1%,7.8,9.4,7.3,1.8,5.4,6.1,1.6,0.8,3.2,3.3,29.4,15,1
99-00,22,39.0,44.2%,7.9,17.9,34.4%,1.0,2.9,75.4%,4.3,5.7,4.5,1.2,3.3,4.4,1.5,1.5,2.5,4.0,21.1,15,7
98-99,8,39.4,43.0%,7.6,17.8,34.8%,1.0,2.9,80.0%,3.5,4.4,6.9,1.6,5.3,4.6,1.9,1.3,3.9,3.0,19.8,3,5
97-98,11,20.0,40.8%,2.8,6.9,21.4%,0.3,1.3,68.9%,2.8,4.1,1.9,0.6,1.3,1.5,0.3,0.7,1.0,2.5,8.7,5,6
96-97,9,14.8,38.2%,2.3,6.1,26.1%,0.7,2.6,86.7%,2.9,3.3,1.2,0.1,1.1,1.2,0.3,0.2,1.6,2.6,8.2,4,5
